InterPro:IPR000008 C2 domain > GO:protein binding ; GO:0005515
InterPro:IPR022684 Peptidase C2, calpain family > GO:proteolysis ; GO:0006508
InterPro:IPR023173 NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain-3 > GO:oxidation-reduction process ; GO:0055114
InterPro:IPR023173 NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain-3 > GO:oxidoreductase activity ; GO:0016491
InterPro:IPR024195 NUDIX hydrolase, YfcD, predicted > GO:hydrolase activity, acting on acid anhydrides ; GO:0016817
InterPro:IPR024678 Serine/threonine-protein kinase OSR1/WNK, CCT domain > GO:ATP binding ; GO:0005524
InterPro:IPR024678 Serine/threonine-protein kinase OSR1/WNK, CCT domain > GO:protein serine/threonine kinase activity ; GO:0004674
InterPro:IPR024937 Domain X > GO:mRNA processing ; GO:0006397
InterPro:IPR025604 Actin cytoskeleton-regulatory complex protein End3 > GO:actin filament organization ; GO:0007015
InterPro:IPR025604 Actin cytoskeleton-regulatory complex protein End3 > GO:endocytosis ; GO:0006897
InterPro:IPR026111 Actin-binding Rho-activating protein > GO:actin binding ; GO:0003779
InterPro:IPR026111 Actin-binding Rho-activating protein > GO:positive regulation of Rho protein signal transduction ; GO:0035025
InterPro:IPR026812 Actin cytoskeleton-regulatory complex protein Pan1, fungal > GO:actin cortical patch ; GO:0030479
InterPro:IPR026812 Actin cytoskeleton-regulatory complex protein Pan1, fungal > GO:endocytosis ; GO:0006897
InterPro:IPR027306 Actin-related protein 2 > GO:actin filament organization ; GO:0007015
InterPro:IPR027306 Actin-related protein 2 > GO:Arp2/3 complex-mediated actin nucleation ; GO:0034314
InterPro:IPR027306 Actin-related protein 2 > GO:Arp2/3 protein complex ; GO:0005885
InterPro:IPR027306 Actin-related protein 2 > GO:ATP binding ; GO:0005524
InterPro:IPR027306 Actin-related protein 2 > GO:cytoskeleton ; GO:0005856
InterPro:IPR027664 Actin-related protein 5 > GO:DNA repair ; GO:0006281
InterPro:IPR027664 Actin-related protein 5 > GO:Ino80 complex ; GO:0031011
InterPro:IPR027664 Actin-related protein 5 > GO:regulation of transcription, DNA-templated ; GO:0006355
InterPro:IPR027665 Actin-related protein 9, fungi > GO:chromatin remodeling ; GO:0006338
InterPro:IPR027665 Actin-related protein 9, fungi > GO:RSC complex ; GO:0016586
InterPro:IPR027665 Actin-related protein 9, fungi > GO:SWI/SNF complex ; GO:0016514
InterPro:IPR027667 Actin-related protein 4 > GO:chromatin remodeling ; GO:0006338
InterPro:IPR027667 Actin-related protein 4 > GO:DNA repair ; GO:0006281
InterPro:IPR027667 Actin-related protein 4 > GO:Ino80 complex ; GO:0031011
InterPro:IPR027667 Actin-related protein 4 > GO:NuA4 histone acetyltransferase complex ; GO:0035267
InterPro:IPR027667 Actin-related protein 4 > GO:regulation of transcription, DNA-templated ; GO:0006355
InterPro:IPR027668 Actin-related protein 8/Plant actin-related protein 9 > GO:chromatin remodeling ; GO:0006338
InterPro:IPR027668 Actin-related protein 8/Plant actin-related protein 9 > GO:Ino80 complex ; GO:0031011
InterPro:IPR027678 Actin-related protein 7, plant > GO:chromatin organization ; GO:0006325
InterPro:IPR027678 Actin-related protein 7, plant > GO:developmental process ; GO:0032502
InterPro:IPR027678 Actin-related protein 7, plant > GO:nucleus ; GO:0005634
InterPro:IPR028449 Actin-binding LIM protein 3 > GO:actin binding ; GO:0003779
InterPro:IPR028449 Actin-binding LIM protein 3 > GO:actin cytoskeleton organization ; GO:0030036
InterPro:IPR028449 Actin-binding LIM protein 3 > GO:transcription, DNA-templated ; GO:0006351
InterPro:IPR028450 Actin-binding LIM protein 2 > GO:actin binding ; GO:0003779
InterPro:IPR028450 Actin-binding LIM protein 2 > GO:actin cytoskeleton organization ; GO:0030036
InterPro:IPR028450 Actin-binding LIM protein 2 > GO:transcription, DNA-templated ; GO:0006351
InterPro:IPR029907 Actin filament-associated protein 1 > GO:regulation of cytoskeleton organization ; GO:0051493
InterPro:IPR029907 Actin filament-associated protein 1 > GO:regulation of signal transduction ; GO:0009966
InterPro:IPR029909 Actin-related protein 1 family > GO:dynactin complex ; GO:0005869
InterPro:IPR029911 Actin-related protein 7, fungi > GO:ATP-dependent chromatin remodeling ; GO:0043044
InterPro:IPR029911 Actin-related protein 7, fungi > GO:RSC complex ; GO:0016586
InterPro:IPR029911 Actin-related protein 7, fungi > GO:SWI/SNF complex ; GO:0016514
InterPro:IPR029912 Actin-like protein 6A > GO:ATP-dependent chromatin remodeling ; GO:0043044
InterPro:IPR029912 Actin-like protein 6A > GO:npBAF complex ; GO:0071564
InterPro:IPR030054 Actin-related protein 6 > GO:chromatin remodeling ; GO:0006338
InterPro:IPR030054 Actin-related protein 6 > GO:nucleus ; GO:0005634
InterPro:IPR030078 Actin-regulating kinase, fungi > GO:actin filament organization ; GO:0007015
InterPro:IPR030078 Actin-regulating kinase, fungi > GO:protein phosphorylation ; GO:0006468
InterPro:IPR030078 Actin-regulating kinase, fungi > GO:protein serine/threonine kinase activity ; GO:0004674
InterPro:IPR030078 Actin-regulating kinase, fungi > GO:regulation of endocytosis ; GO:0030100
InterPro:IPR030104 Actin-binding protein IPP > GO:actin binding ; GO:0003779
InterPro:IPR030115 Actin filament-associated protein 1-like 2 > GO:cytoplasm ; GO:0005737
InterPro:IPR030115 Actin filament-associated protein 1-like 2 > GO:regulation of signal transduction ; GO:0009966
InterPro:IPR030115 Actin filament-associated protein 1-like 2 > GO:signaling adaptor activity ; GO:0035591
InterPro:IPR030141 Actin-related protein 2/3 complex subunit 1B > GO:actin cytoskeleton ; GO:0015629
InterPro:IPR030141 Actin-related protein 2/3 complex subunit 1B > GO:Arp2/3 complex-mediated actin nucleation ; GO:0034314
InterPro:IPR030141 Actin-related protein 2/3 complex subunit 1B > GO:Arp2/3 protein complex ; GO:0005885
InterPro:IPR030141 Actin-related protein 2/3 complex subunit 1B > GO:regulation of actin filament polymerization ; GO:0030833
InterPro:IPR030534 Double C2-like domain-containing protein beta > GO:calcium-dependent phospholipid binding ; GO:0005544
InterPro:IPR030534 Double C2-like domain-containing protein beta > GO:calcium ion binding ; GO:0005509
InterPro:IPR030534 Double C2-like domain-containing protein beta > GO:calcium ion-dependent exocytosis of neurotransmitter ; GO:0048791
InterPro:IPR030534 Double C2-like domain-containing protein beta > GO:positive regulation of calcium ion-dependent exocytosis ; GO:0045956
InterPro:IPR030534 Double C2-like domain-containing protein beta > GO:positive regulation of insulin secretion ; GO:0032024
InterPro:IPR030534 Double C2-like domain-containing protein beta > GO:positive regulation of vesicle fusion ; GO:0031340
InterPro:IPR030535 Double C2-like domain-containing protein alpha > GO:calcium-dependent phospholipid binding ; GO:0005544
InterPro:IPR030535 Double C2-like domain-containing protein alpha > GO:calcium ion binding ; GO:0005509
InterPro:IPR030535 Double C2-like domain-containing protein alpha > GO:regulation of calcium ion-dependent exocytosis ; GO:0017158
InterPro:IPR030535 Double C2-like domain-containing protein alpha > GO:synaptic transmission ; GO:0007268
InterPro:IPR030542 Tandem C2 domains nuclear protein > GO:nucleus ; GO:0005634
InterPro:IPR030726 Protocadherin alpha-C2 > GO:cell adhesion ; GO:0007155
InterPro:IPR030726 Protocadherin alpha-C2 > GO:nervous system development ; GO:0007399
InterPro:IPR030880 DEAD-box ATP-dependent RNA helicase CshA > GO:ATP binding ; GO:0005524
InterPro:IPR030880 DEAD-box ATP-dependent RNA helicase CshA > GO:ATP-dependent RNA helicase activity ; GO:0004004
InterPro:IPR030880 DEAD-box ATP-dependent RNA helicase CshA > GO:RNA secondary structure unwinding ; GO:0010501
InterPro:IPR030881 DEAD-box ATP-dependent RNA helicase CshB > GO:helicase activity ; GO:0004386
InterPro:IPR030881 DEAD-box ATP-dependent RNA helicase CshB > GO:response to cold ; GO:0009409
InterPro:IPR031252 ATPase family AAA domain-containing protein 2 > GO:ATPase activity ; GO:0016887
InterPro:IPR031252 ATPase family AAA domain-containing protein 2 > GO:chromatin modification ; GO:0016568
InterPro:IPR031252 ATPase family AAA domain-containing protein 2 > GO:regulation of transcription, DNA-templated ; GO:0006355
